MaxLength,MemoryLimit,Compressietijd (nanoseconds),Compressieratio,geheugenverbruik_bij_compressie, geheugenverbruik_bij_decompressie, decompressietijd (nanoseconds)
1,0,7829465,0.6949152542372882,10754,10721,7670799
1,1,8931814,0.6949152542372882,10754,10721,8864297
1,2,8977952,0.6949152542372882,10754,10721,7824113
1,3,10243009,0.6949152542372882,10754,10721,10064065
1,4,7621101,0.6949152542372882,10754,10721,12337817
1,5,7833222,0.6949152542372882,10754,10721,8940526
1,6,9021291,0.6949152542372882,10754,10721,8634554
1,7,7679135,0.6949152542372882,10754,10721,8136999
1,8,7674127,0.6949152542372882,10754,10721,7853244
1,9,9000314,0.6949152542372882,10754,10721,9304613
2,0,8783171,0.6949152542372882,10802,10721,14941109
2,1,7549204,0.6949152542372882,10802,10721,10878279
2,2,7681437,0.6949152542372882,10802,10721,7811925
2,3,7058417,0.6949152542372882,10802,10721,7943348
2,4,8540843,0.6949152542372882,10802,10721,9563957
2,5,7228984,0.6949152542372882,10802,10721,8126894
2,6,8760643,0.6949152542372882,10802,10721,15165471
2,7,8900995,0.6949152542372882,10802,10721,8762887
2,8,7971854,0.6949152542372882,10802,10721,12917678
2,9,8477322,0.6949152542372882,10802,10721,7637004
3,0,7557520,0.5694444444444444,11247,11117,8372305
3,1,8645269,0.5694444444444444,11247,11117,9366666
3,2,9610941,0.5694444444444444,11247,11117,8685331
3,3,8561369,0.5694444444444444,11247,11117,10432758
3,4,8520649,0.5694444444444444,11247,11117,9669493
3,5,7620634,0.5694444444444444,11247,11117,7859113
3,6,8514694,0.5694444444444444,11247,11117,8877324
3,7,8665387,0.5694444444444444,11247,11117,9268663
3,8,8364309,0.5694444444444444,11247,11117,8566257
3,9,11976023,0.5694444444444444,11247,11117,8579812
4,0,8050960,0.6307692307692307,10913,10734,9215286
4,1,7449112,0.6307692307692307,10913,10734,8926795
4,2,8017391,0.6307692307692307,10913,10734,8728007
4,3,8131982,0.6307692307692307,10913,10734,7531944
4,4,7693929,0.6307692307692307,10913,10734,7901390
4,5,8070338,0.6307692307692307,10913,10734,9431487
4,6,8689062,0.6307692307692307,10913,10734,8452292
4,7,9044872,0.6307692307692307,10913,10734,8685911
4,8,7136052,0.6307692307692307,10913,10734,9189169
4,9,7759893,0.6307692307692307,10913,10734,8543302
5,0,8166946,0.6833333333333333,10674,10446,7892029
5,1,9222976,0.6833333333333333,10674,10446,9574863
5,2,8501318,0.6833333333333333,10674,10446,7181500
5,3,9340768,0.6833333333333333,10674,10446,9890715
5,4,7738959,0.6833333333333333,10674,10446,8160289
5,5,7297689,0.6833333333333333,10674,10446,7716415
5,6,6894523,0.6833333333333333,10674,10446,8827483
5,7,8278497,0.6833333333333333,10674,10446,8319935
5,8,7118120,0.6833333333333333,10674,10446,8532757
5,9,7491089,0.6833333333333333,10674,10446,9465519
6,0,9779848,0.7454545454545455,10434,10157,7490574
6,1,8196402,0.7454545454545455,10434,10157,9078936
6,2,8048073,0.7454545454545455,10434,10157,8716891
6,3,9061035,0.7454545454545455,10434,10157,7565477
6,4,8925306,0.7454545454545455,10434,10157,8591617
6,5,8533576,0.7454545454545455,10434,10157,8532097
6,6,8263726,0.7454545454545455,10434,10157,9664732
6,7,8815540,0.7454545454545455,10434,10157,8448310
6,8,7716322,0.7454545454545455,10434,10157,8525803
6,9,8523381,0.7454545454545455,10434,10157,9442852
7,0,7755415,0.7592592592592593,10301,10061,8457098
7,1,7290958,0.7592592592592593,10301,10061,8255587
7,2,8845554,0.7592592592592593,10301,10061,8247560
7,3,8119039,0.7592592592592593,10301,10061,8729002
7,4,7594030,0.7592592592592593,10301,10061,8389204
7,5,7223793,0.7592592592592593,10301,10061,9250436
7,6,10395918,0.7592592592592593,10301,10061,7960666
7,7,8177765,0.7592592592592593,10301,10061,8605312
7,8,8881235,0.7592592592592593,10301,10061,8705321
7,9,8434483,0.7592592592592593,10301,10061,7763279
8,0,9958177,0.7592592592592593,10349,10061,8441658
8,1,8440418,0.7592592592592593,10349,10061,9487745
8,2,8735819,0.7592592592592593,10349,10061,9205224
8,3,8044170,0.7592592592592593,10349,10061,7856000
8,4,7062200,0.7592592592592593,10349,10061,7946088
8,5,7860716,0.7592592592592593,10349,10061,9824622
8,6,7208895,0.7592592592592593,10349,10061,7338162
8,7,7799612,0.7592592592592593,10349,10061,7912705
8,8,8912218,0.7592592592592593,10349,10061,8811173
8,9,8023159,0.7592592592592593,10349,10061,8170917
9,0,8319816,0.7592592592592593,10413,10061,8824081
9,1,8547897,0.7592592592592593,10413,10061,8678807
9,2,8524977,0.7592592592592593,10413,10061,7794827
9,3,8772073,0.7592592592592593,10413,10061,9938554
9,4,10451984,0.7592592592592593,10413,10061,9046124
9,5,7983593,0.7592592592592593,10413,10061,9188442
9,6,8703384,0.7592592592592593,10413,10061,8619356
9,7,8201204,0.7592592592592593,10413,10061,8752457
9,8,9213100,0.7592592592592593,10413,10061,8600971
9,9,7794420,0.7592592592592593,10413,10061,8711732
